,1,2,3,4,5
0,"('produto', 1992)","('produto', 849)","('produto', 1140)","('produto', 1561)","('produto', 2068)"
1,"('entregue', 493)","('veio', 177)","('entregue', 236)","('ante', 701)","('ante', 1910)"
2,"('compra', 345)","('entregue', 172)","('veio', 223)","('entregue', 407)","('qualidade', 684)"
3,"('comprei', 329)","('comprei', 144)","('porém', 204)","('chegou', 352)","('entregue', 660)"
4,"('veio', 254)","('entrega', 121)","('entrega', 180)","('qualidade', 335)","('chegou', 624)"
5,"('site', 227)","('compra', 111)","('chegou', 165)","('entrega', 283)","('recomendo', 488)"
6,"('pedido', 192)","('porém', 99)","('correio', 136)","('gostei', 224)","('entrega', 477)"
7,"('chegou', 192)","('chegou', 95)","('qualidade', 135)","('dentro', 180)","('excelente', 434)"
8,"('estou', 186)","('correio', 90)","('ante', 131)","('compra', 177)","('super', 374)"
9,"('entrega', 179)","('qualidade', 90)","('compra', 129)","('veio', 169)","('muito', 348)"
10,"('lannister', 173)","('site', 90)","('comprei', 129)","('prazo', 166)","('compra', 346)"
11,"('correio', 154)","('gostei', 76)","('gostei', 113)","('porém', 157)","('gostei', 244)"
12,"('dia', 149)","('estou', 65)","('site', 97)","('recomendo', 154)","('prazo', 232)"
13,"('pois', 148)","('pois', 64)","('pois', 86)","('correio', 132)","('dentro', 195)"
14,"('minha', 141)","('loja', 62)","('frete', 80)","('conforme', 131)","('conforme', 188)"
15,"('qualidade', 135)","('pedido', 61)","('problema', 80)","('muito', 127)","('loja', 183)"
16,"('dois', 133)","('está', 56)","('para', 75)","('site', 122)","('site', 176)"
17,"('apena', 129)","('dois', 54)","('isso', 73)","('loja', 114)","('todo', 159)"
18,"('retorno', 118)","('para', 51)","('muito', 71)","('pouco', 105)","('rápido', 157)"
19,"('receber', 118)","('receber', 50)","('dentro', 71)","('pois', 99)","('previsto', 155)"
